item_id,level,need_level,coin,get_exp,cost,revenue_rate,area
1,1,1,0,0,2,100,0
1,2,2,150,12,4,103,0
1,3,3,300,15,4,105,0
1,4,4,700,25,4,107,0
1,5,5,1200,40,5,110,0
2,1,1,0,0,3,100,0
2,2,3,2500,25,3,103,0
2,3,5,5000,30,4,105,0
2,4,7,12000,45,4,107,0
2,5,10,60000,55,5,110,0
3,1,1,0,0,5,100,0
3,2,6,5000,55,5,103,0
3,3,7,12000,60,6,110,0
3,4,8,30000,75,6,120,0
3,5,10,50000,100,7,125,0
4,1,1,0,0,5,100,0
4,2,7,10000,100,6,110,0
4,3,10,25000,150,7,120,0
4,4,15,70000,220,8,125,0
4,5,20,150000,250,10,130,0
5,1,1,0,0,10,100,0
5,2,5,2500,40,10,103,0
5,3,6,5000,55,11,105,0
5,4,7,12000,70,11,110,0
5,5,10,60000,100,12,115,0
6,1,1,0,0,12,100,0
6,2,7,6000,100,13,105,0
6,3,15,18000,200,13,115,0
6,4,20,35000,300,14,120,0
6,5,25,80000,400,15,125,0
7,1,1,0,0,15,100,0
7,2,8,8000,88,16,110,0
7,3,12,15000,160,16,115,0
7,4,15,40000,260,16,125,0
7,5,20,90000,300,17,130,0
8,1,1,0,0,15,100,0
8,2,10,15000,150,16,110,0
8,3,20,60000,220,17,120,0
8,4,25,120000,260,18,130,0
8,5,30,180000,300,20,150,0
9,1,1,0,0,25,100,0
9,2,5,3500,55,26,110,0
9,3,12,15000,120,26,115,0
9,4,18,50000,250,26,120,0
9,5,22,100000,300,27,125,0
10,1,1,0,0,30,100,0
10,2,7,5000,100,31,110,0
10,3,15,20000,200,32,120,0
10,4,20,70000,300,33,130,0
10,5,25,120000,400,35,150,0
11,1,1,0,0,35,100,0
11,2,10,10000,150,36,110,0
11,3,20,70000,250,37,120,0
11,4,30,140000,300,38,150,0
11,5,40,250000,500,40,200,0
12,1,1,0,0,35,100,0
12,2,10,20000,200,40,110,0
12,3,20,100000,400,45,120,0
12,4,30,200000,500,50,150,0
12,5,40,500000,900,55,200,0
13,1,1,0,0,3,100,5
13,2,3,500,20,4,100,5
13,3,5,2500,50,4,100,5
13,4,7,5000,200,4,100,5
13,5,10,2500,500,5,100,5
14,1,1,0,0,5,100,7
14,2,5,1000,20,6,100,7
14,3,10,5000,50,7,100,7
14,4,15,10000,200,8,100,7
14,5,20,50000,500,10,100,7
